"iso3c","year","source","generation"
"AGO",2015,"oil",6185.25
"AGO",2015,"solar",18.27
"AGO",2016,"bioenergy",155
"AGO",2016,"gas",85.34
"AGO",2016,"hydro",6286.13
"AGO",2016,"oil",6214.26
"AGO",2016,"solar",18.27
"AGO",2017,"bioenergy",200
"AGO",2017,"gas",58.08
"AGO",2017,"hydro",8844.18
"AGO",2017,"oil",4938.08
"AGO",2017,"solar",18.27
"AGO",2018,"bioenergy",200
"AGO",2018,"gas",58.08
"AGO",2018,"hydro",11322.93
"AGO",2018,"oil",4938.08
"AGO",2018,"solar",18.27
"AGO",2019,"bioenergy",200
"AGO",2019,"gas",58.08
"AGO",2019,"hydro",12562.3
"AGO",2019,"oil",4938.08
"AGO",2019,"solar",18.27
"AGO",2020,"bioenergy",200
"AGO",2020,"gas",58.08
"AGO",2020,"hydro",13801.68
"AGO",2020,"oil",4938.08
"AGO",2020,"solar",18.27
"AIA",2000,"oil",45.8
"AIA",2001,"oil",53.61
"AIA",2002,"oil",55.2
"AIA",2003,"oil",58.39
"AIA",2004,"oil",62
"AIA",2005,"oil",72.04
"AIA",2006,"oil",76.51
"AIA",2007,"oil",89
"AIA",2008,"oil",89.5
"AIA",2009,"oil",91.22
"AIA",2010,"oil",98.57
"AIA",2011,"oil",95.39
"AIA",2012,"oil",89.48
"AIA",2012,"solar",0.08
"AIA",2013,"oil",88.56
"AIA",2013,"solar",0.11
"AIA",2014,"oil",89.5
"AIA",2014,"solar",0.87
"AIA",2015,"oil",92.26
"AIA",2015,"solar",1.47
"AIA",2016,"oil",102.02
"AIA",2016,"solar",2.43
"AIA",2017,"oil",100.27
"AIA",2017,"solar",2.31
"AIA",2018,"oil",100.52
"AIA",2018,"solar",1.99
"AIA",2019,"oil",105.81
"AIA",2019,"solar",2.63
"AIA",2020,"oil",105.81
"AIA",2020,"solar",2.63
"ALB",2000,"hydro",4594
"ALB",2000,"oil",184
"ALB",2001,"hydro",3555
"ALB",2001,"oil",175
"ALB",2001,"solar",0.14
"ALB",2002,"hydro",3512
"ALB",2002,"oil",226
"ALB",2002,"solar",0.27
"ALB",2003,"hydro",4885
"ALB",2003,"oil",107
"ALB",2003,"solar",0.27
"ALB",2004,"hydro",5466
"ALB",2004,"oil",140
"ALB",2004,"solar",0.27
"ALB",2005,"hydro",5373
"ALB",2005,"oil",70
"ALB",2005,"solar",0.27
"ALB",2006,"hydro",5431
"ALB",2006,"oil",93
"ALB",2006,"solar",0.27
"ALB",2007,"hydro",2788
"ALB",2007,"oil",72
"ALB",2007,"solar",0.27
"ALB",2008,"hydro",3797
"ALB",2008,"solar",0.27
"ALB",2009,"hydro",5201
"ALB",2009,"oil",1
"ALB",2009,"solar",0.41
"ALB",2010,"hydro",7567
"ALB",2010,"oil",1
"ALB",2010,"solar",0.54
"ALB",2011,"hydro",4132
"ALB",2011,"oil",59
"ALB",2011,"solar",0.77
"ALB",2012,"hydro",4725
"ALB",2012,"solar",0.92
"ALB",2013,"hydro",6959
"ALB",2013,"solar",1.03
"ALB",2014,"hydro",4724.44
"ALB",2014,"solar",1.19
"ALB",2015,"hydro",5895
"ALB",2015,"solar",1.43
"ALB",2016,"hydro",7781.7
"ALB",2016,"solar",1.36
"ALB",2017,"hydro",4524.98
"ALB",2017,"solar",1.2
"ALB",2018,"hydro",8552.15
"ALB",2018,"solar",1.33
"ALB",2019,"hydro",5183.85
"ALB",2019,"solar",22.2
"ALB",2020,"hydro",5280.9
"ALB",2020,"solar",32.27
"AND",2000,"hydro",80
"AND",2001,"hydro",80
"AND",2002,"hydro",80
"AND",2003,"hydro",80
"AND",2004,"hydro",93
"AND",2004,"otherrenewable",1
"AND",2005,"hydro",84
"AND",2005,"otherrenewable",1
"AND",2006,"hydro",70
"AND",2006,"otherrenewable",4
"AND",2007,"hydro",57
"AND",2007,"otherrenewable",19
"AND",2008,"hydro",63
"AND",2008,"otherrenewable",15.7
"AND",2009,"hydro",62
"AND",2009,"otherrenewable",19
"AND",2010,"hydro",100
"AND",2010,"otherrenewable",12.7
"AND",2011,"hydro",78.9
"AND",2011,"otherrenewable",12.3
"AND",2012,"hydro",76.18
"AND",2012,"otherrenewable",11.68
"AND",2013,"hydro",101.78
