Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Sweden,CAIT,Electricity/Heat,All GHG,MtCO₂e,8.21,9.06,10.44,10.51,9.62,9.73,10.03,10.4,10.98,13.67,11.02,10.78,10.4,12.07,11.78,12.72,13.26,11.91,10.77,10.0,11.91,13.1,12.17,16.42,11.91,12.61,12.05,11.8,12.06,9.87
New Zealand,CAIT,Electricity/Heat,All GHG,MtCO₂e,7.15,6.41,6.98,6.14,7.31,7.4,8.29,9.4,8.0,8.55,8.98,11.1,10.2,11.77,11.81,9.86,10.2,8.67,9.6,7.92,8.13,6.98,7.44,5.29,4.36,4.67,5.35,6.11,4.94,4.54
Ecuador,CAIT,Electricity/Heat,All GHG,MtCO₂e,6.5,7.47,6.93,9.37,10.51,10.54,10.07,9.14,8.76,9.96,8.69,7.06,7.74,7.47,6.1,5.35,4.75,5.08,5.0,4.29,3.93,5.2,4.69,4.19,3.95,1.84,1.88,2.43,1.93,1.61
Zimbabwe,CAIT,Electricity/Heat,All GHG,MtCO₂e,6.49,6.63,5.44,6.26,7.25,6.89,6.82,5.65,6.05,4.93,2.79,2.73,3.44,3.94,6.08,5.75,4.7,6.38,6.96,5.38,5.99,6.23,5.99,6.72,7.49,8.56,8.1,8.87,8.76,7.02
Estonia,CAIT,Electricity/Heat,All GHG,MtCO₂e,6.08,11.26,12.69,12.09,11.68,13.8,15.02,12.74,13.99,15.18,11.37,13.65,15.06,11.62,12.98,12.93,12.94,11.08,11.23,11.44,11.93,12.33,12.75,12.75,12.15,13.99,14.31,19.52,24.67,26.99
Ghana,CAIT,Electricity/Heat,All GHG,MtCO₂e,5.96,5.29,4.64,4.27,3.37,3.32,3.69,3.1,2.53,3.08,1.73,1.89,2.61,2.41,1.1,0.61,1.73,1.95,0.93,0.54,1.15,1.22,0.03,0.06,0.07,0.08,0.06,0.05,0.05,0.04
Guatemala,CAIT,Electricity/Heat,All GHG,MtCO₂e,5.86,5.54,4.24,5.35,4.98,3.73,3.56,3.06,2.75,2.73,3.67,3.09,3.35,3.15,3.46,3.53,3.15,3.17,2.58,2.47,1.84,2.08,1.08,1.04,1.13,1.01,0.92,0.92,0.31,0.25
Angola,CAIT,Electricity/Heat,All GHG,MtCO₂e,5.75,5.07,5.12,4.58,6.45,6.02,4.35,2.94,2.45,2.62,2.47,1.6,1.19,1.07,0.98,0.86,1.23,1.05,1.04,0.94,0.85,0.59,0.63,0.41,0.38,0.38,0.31,0.37,0.44,0.48
Sudan,CAIT,Electricity/Heat,All GHG,MtCO₂e,5.45,5.36,5.12,4.96,4.15,2.32,1.94,2.09,2.21,1.65,3.29,3.91,3.53,3.45,2.76,2.5,2.37,2.15,1.53,1.47,1.13,0.94,1.13,1.02,0.89,0.67,0.89,0.51,0.58,0.51
Bolivia,CAIT,Electricity/Heat,All GHG,MtCO₂e,5.35,6.18,6.3,6.33,5.61,5.62,4.94,4.82,4.74,4.31,3.75,3.61,3.29,3.05,2.71,2.34,2.37,1.99,1.96,1.78,1.68,2.14,2.07,2.0,2.27,1.95,1.68,1.72,1.52,1.55
Panama,CAIT,Electricity/Heat,All GHG,MtCO₂e,4.84,1.96,2.08,2.67,2.67,2.8,2.6,2.85,3.13,2.74,2.44,1.79,2.08,1.81,1.51,1.44,1.97,1.59,2.22,1.29,1.18,2.04,1.29,1.07,1.26,1.1,1.06,1.2,0.82,0.55
Brunei,CAIT,Electricity/Heat,All GHG,MtCO₂e,4.78,5.21,4.79,4.63,4.09,4.84,4.97,4.99,5.16,5.16,5.13,3.93,3.77,4.21,3.71,3.78,4.14,3.3,3.3,3.42,3.15,3.24,3.88,3.59,3.47,3.17,2.95,2.71,2.61,2.54
Cambodia,CAIT,Electricity/Heat,All GHG,MtCO₂e,4.7,3.89,3.66,3.4,2.39,1.53,0.73,0.9,0.91,0.89,1.04,1.23,1.22,0.95,0.78,0.67,0.61,0.59,0.43,0.38,0.34,0.31,0.26,0.2,0.16,N/A,N/A,N/A,N/A,N/A
Slovenia,CAIT,Electricity/Heat,All GHG,MtCO₂e,4.57,4.85,4.97,4.94,4.61,4.56,5.83,6.05,6.33,6.25,6.13,6.4,6.57,6.47,6.33,6.28,6.2,6.5,6.18,5.69,5.55,6.38,5.99,5.68,5.96,5.66,6.06,6.0,5.48,6.35
Macedonia,CAIT,Electricity/Heat,All GHG,MtCO₂e,4.34,3.63,4.16,3.59,4.01,4.46,4.8,5.71,5.97,5.33,5.84,6.08,6.04,5.9,5.93,5.97,6.13,5.84,6.54,6.15,6.29,6.99,6.09,6.61,6.09,5.95,5.93,5.7,5.7,5.65
Botswana,CAIT,Electricity/Heat,All GHG,MtCO₂e,4.1,4.2,4.31,3.64,3.83,3.77,2.33,0.49,1.08,0.57,0.94,1.06,1.08,1.28,1.69,1.62,1.38,1.32,1.25,1.67,1.67,1.32,1.41,1.32,1.76,1.67,1.65,1.66,1.41,1.53
Senegal,CAIT,Electricity/Heat,All GHG,MtCO₂e,4.09,3.95,4.09,3.04,2.77,2.44,2.23,2.14,2.01,2.13,2.13,1.83,1.74,1.88,1.95,1.59,1.41,1.55,1.66,1.51,1.32,1.24,1.18,1.07,1.03,1.02,0.97,0.95,0.85,0.88
Croatia,CAIT,Electricity/Heat,All GHG,MtCO₂e,3.87,3.83,4.43,4.78,4.69,4.69,5.2,5.6,6.32,6.04,6.52,6.94,8.04,6.92,7.12,7.1,8.19,7.53,6.71,6.19,6.78,7.45,6.35,5.95,6.09,5.45,6.68,6.21,5.6,7.91
Côte d'Ivoire,CAIT,Electricity/Heat,All GHG,MtCO₂e,3.83,3.58,3.92,3.55,3.96,3.94,3.62,3.65,2.81,2.92,2.52,2.85,2.46,2.34,3.14,2.34,2.19,2.64,2.47,2.37,2.51,2.47,2.13,1.49,1.02,1.05,0.91,0.69,0.63,0.59
Honduras,CAIT,Electricity/Heat,All GHG,MtCO₂e,3.53,3.21,2.81,2.87,3.43,3.21,3.02,2.72,2.76,2.31,2.31,2.62,2.59,2.73,1.98,2.31,1.62,1.49,1.31,1.04,0.85,1.32,0.87,0.74,0.91,0.33,0.17,0.12,0.03,0.04
North Korea,CAIT,Electricity/Heat,All GHG,MtCO₂e,3.37,2.93,3.31,4.48,3.67,4.62,4.06,5.65,5.6,7.71,8.34,11.48,10.37,12.29,12.29,11.94,11.7,11.55,12.1,11.63,10.55,8.73,11.07,11.42,11.43,12.1,11.55,13.86,15.03,16.25
Moldova,CAIT,Electricity/Heat,All GHG,MtCO₂e,3.35,3.27,3.01,3.58,3.63,3.28,2.81,3.57,3.53,3.73,3.8,3.74,3.72,3.81,3.79,3.7,4.2,4.02,4.33,4.08,4.38,4.97,5.16,6.0,6.21,8.09,10.53,13.16,12.71,13.7
Cyprus,CAIT,Electricity/Heat,All GHG,MtCO₂e,3.26,3.31,3.28,3.27,3.01,2.92,2.81,3.53,3.72,3.86,4.02,3.97,3.8,3.61,3.53,3.35,3.56,3.04,2.88,3.0,2.86,2.68,2.44,2.31,2.19,2.4,2.27,2.15,1.85,1.78
Switzerland,CAIT,Electricity/Heat,All GHG,MtCO₂e,3.19,3.18,3.19,3.2,3.12,3.61,3.74,3.62,3.65,3.83,3.66,3.94,3.84,4.18,4.07,3.97,3.58,3.56,3.48,3.33,3.47,3.69,3.17,2.97,2.88,3.02,2.83,3.17,3.04,2.52
Papua New Guinea,CAIT,Electricity/Heat,All GHG,MtCO₂e,3.16,3.15,3.16,3.31,2.85,2.49,2.05,1.89,2.04,1.96,2.05,1.89,1.99,1.95,1.99,2.14,1.75,1.45,1.3,0.9,0.83,0.9,0.67,0.57,0.52,0.32,0.79,0.78,0.78,0.78
Tanzania,CAIT,Electricity/Heat,All GHG,MtCO₂e,3.13,2.74,2.5,2.57,2.87,2.43,2.85,2.5,1.92,1.48,1.21,1.24,1.39,1.59,1.36,1.26,0.12,0.12,0.16,0.33,0.19,0.12,0.48,0.43,0.59,0.44,0.35,0.29,0.29,0.29
Jamaica,CAIT,Electricity/Heat,All GHG,MtCO₂e,2.9,2.82,2.73,2.82,2.61,2.49,2.6,2.73,2.98,3.23,3.12,2.79,3.74,3.68,4.31,4.53,5.97,5.68,5.57,5.53,5.53,5.47,5.26,5.08,5.26,4.07,4.78,3.64,1.97,2.03
Yemen,CAIT,Electricity/Heat,All GHG,MtCO₂e,2.83,2.6,3.16,3.64,4.6,7.52,8.39,7.36,7.31,8.12,7.81,6.8,6.55,5.72,5.43,5.12,4.72,4.51,4.67,4.39,4.06,3.34,3.08,2.8,2.68,2.37,2.18,2.3,2.12,1.6
Mauritius,CAIT,Electricity/Heat,All GHG,MtCO₂e,2.44,2.49,2.56,2.44,2.42,2.45,2.37,2.29,2.22,2.23,2.04,2.05,2.01,1.87,1.59,1.42,1.4,1.31,1.28,1.18,1.04,0.85,0.72,0.7,0.64,0.61,0.53,0.51,0.49,0.44
Zambia,CAIT,Electricity/Heat,All GHG,MtCO₂e,2.39,2.72,1.91,0.66,0.33,0.31,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.08,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.16,0.15,0.11,0.13,0.14,0.16,0.16,0.16,0.16
Lithuania,CAIT,Electricity/Heat,All GHG,MtCO₂e,2.37,2.55,2.67,3.0,3.28,3.24,3.94,4.52,4.56,5.44,4.93,4.93,4.77,5.26,5.72,5.42,5.25,5.35,5.55,5.08,6.06,7.51,6.66,7.12,6.43,7.29,7.34,8.66,14.75,13.69
Cameroon,CAIT,Electricity/Heat,All GHG,MtCO₂e,2.34,2.62,2.25,2.12,2.03,1.85,1.5,1.23,1.3,1.65,1.56,1.42,1.33,0.61,0.16,0.12,0.12,0.09,0.06,0.04,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
Kyrgyzstan,CAIT,Electricity/Heat,All GHG,MtCO₂e,2.21,1.59,1.51,1.84,2.76,2.29,1.65,1.89,1.78,1.68,2.14,2.3,1.94,1.96,2.09,1.67,1.67,1.63,1.78,2.02,1.75,1.82,2.42,2.49,2.21,1.2,1.52,2.72,3.94,3.93
Republic of Congo,CAIT,Electricity/Heat,All GHG,MtCO₂e,2.13,1.52,1.34,1.35,1.27,0.46,0.43,0.42,0.3,0.21,0.13,0.05,0.04,0.05,0.05,0.04,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01
Latvia,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.89,2.0,1.61,1.91,1.89,1.81,2.1,1.99,2.2,2.39,2.0,2.07,2.12,2.24,2.22,2.25,2.46,2.5,2.63,2.73,3.27,3.7,3.84,4.34,4.12,4.48,5.34,7.1,8.85,9.87
Mozambique,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.86,1.74,1.94,1.8,0.79,0.29,0.26,0.19,0.18,0.03,0.02,0.02,0.01,0.02,0.02,0.04,0.04,0.04,0.05,0.05,0.02,0.02,0.03,0.03,0.03,0.03,0.06,0.09,0.13,0.11
Tajikistan,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.86,1.5,0.98,0.53,0.29,0.22,0.07,0.05,0.04,0.04,0.08,0.2,0.31,0.59,0.59,0.59,0.51,0.47,0.55,0.57,0.7,0.7,0.7,0.59,0.57,0.72,1.29,1.69,1.54,1.54
Mauritania,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.62,1.49,1.4,1.1,1.54,1.0,0.86,0.92,0.85,0.84,0.75,0.62,0.56,0.5,0.38,0.48,0.43,0.54,0.49,0.43,0.45,0.43,0.41,0.42,0.4,0.36,0.37,0.35,0.35,0.34
Gabon,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.53,1.56,1.61,1.01,0.92,0.86,0.83,0.92,0.89,0.8,0.68,0.68,0.77,0.61,0.63,0.53,0.51,0.46,0.42,0.45,0.46,0.49,0.42,0.41,0.33,0.26,0.34,0.31,0.32,0.31
Montenegro,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.53,1.49,1.29,1.26,1.56,1.49,1.54,1.59,1.78,1.75,0.82,1.54,1.01,1.28,1.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicaragua,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.52,1.48,1.53,1.7,1.73,1.58,1.52,1.75,1.93,1.82,1.84,1.72,1.83,1.74,1.6,1.71,1.63,1.59,1.63,1.5,1.38,1.5,1.11,1.03,0.96,0.85,0.74,0.78,0.62,0.57
Bahamas,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.4,1.38,1.25,1.24,1.26,1.22,1.13,1.72,1.49,1.33,4.26,1.63,1.53,1.48,1.41,1.41,1.47,1.42,1.27,1.21,1.26,1.25,1.12,0.99,1.04,1.01,1.02,1.22,0.87,0.84
Armenia,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.36,1.5,1.26,1.19,1.29,1.15,1.32,1.43,0.95,0.63,0.65,1.04,1.08,0.9,0.95,0.77,0.88,0.92,1.54,1.6,1.46,1.79,1.8,1.54,1.39,0.82,0.81,4.88,7.82,6.12
Georgia,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.35,1.01,1.1,1.07,1.26,1.11,0.98,1.33,1.21,1.0,1.35,0.99,1.78,1.54,1.26,1.06,0.84,0.76,1.13,1.68,1.43,1.57,1.49,1.59,5.39,4.54,6.13,8.84,11.09,17.16
El Salvador,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.2,0.92,1.01,1.69,1.74,1.73,1.7,1.61,1.57,1.49,1.82,1.7,1.93,1.85,1.54,1.49,1.56,1.35,1.27,1.16,1.09,1.45,1.4,0.92,1.36,1.21,0.84,0.64,0.67,0.17
Kenya,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.15,1.24,2.09,2.06,1.1,1.57,2.57,2.01,2.57,2.29,2.97,2.42,1.9,1.91,1.72,1.44,0.94,1.14,1.59,2.2,1.43,1.12,0.61,0.58,0.5,0.55,0.49,0.46,0.41,0.43
Madagascar,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.12,1.27,1.42,1.24,1.34,1.13,1.1,0.98,0.65,0.45,0.38,0.42,0.36,0.38,0.36,0.38,0.37,0.28,0.34,0.35,0.28,0.28,0.19,0.12,0.23,0.2,0.19,0.19,0.2,0.19
Burkina Faso,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.09,1.02,1.06,1.01,1.24,0.77,0.7,0.61,0.54,0.45,0.41,0.36,0.36,0.34,0.3,0.27,0.25,0.22,0.22,0.21,0.17,0.19,0.18,0.14,0.11,0.1,0.12,0.13,0.13,0.13
Suriname,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.09,0.97,1.04,1.23,1.53,1.43,1.19,1.15,0.93,0.56,0.44,0.42,0.42,0.51,0.71,0.48,0.37,0.29,0.33,0.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Equatorial Guinea,CAIT,Electricity/Heat,All GHG,MtCO₂e,1.03,0.99,1.06,1.26,1.38,1.44,1.37,0.86,0.74,0.7,0.63,0.6,0.54,0.49,0.4,0.4,0.22,0.16,0.15,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Guyana,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.98,0.92,0.87,0.85,0.79,0.79,0.81,0.75,0.75,0.76,0.75,0.59,0.6,0.52,0.5,0.69,0.68,0.38,0.38,0.39,0.41,0.48,0.44,0.41,0.42,0.39,0.34,0.34,0.35,0.35
Haiti,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.87,0.86,0.93,1.0,0.94,0.94,0.91,0.88,0.82,0.52,0.26,0.24,0.24,0.18,0.17,0.17,0.17,0.22,0.2,0.19,0.2,0.26,0.35,0.24,0.16,0.03,0.08,0.13,0.22,0.25
Maldives,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.76,0.75,0.71,0.65,0.54,0.49,0.36,0.36,0.33,0.31,0.35,0.34,0.3,0.3,0.25,0.25,0.2,0.19,0.16,0.16,0.1,0.08,0.07,0.06,0.06,0.05,0.04,0.03,0.03,0.03
Malta,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.75,0.7,0.71,0.56,0.85,1.61,1.65,2.03,1.91,1.87,1.87,1.99,2.04,2.0,1.98,2.05,2.15,1.94,1.98,1.59,1.7,1.63,1.6,1.64,1.59,1.82,2.12,1.55,1.61,1.78
South Sudan,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.72,0.67,0.64,0.67,0.81,0.49,0.45,0.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Uruguay,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.64,0.79,0.36,0.86,1.15,0.99,1.86,3.29,2.32,1.24,2.64,3.08,1.3,2.05,1.2,1.31,0.31,0.29,0.34,0.73,1.65,0.63,0.72,0.94,0.58,0.13,0.64,1.11,0.92,0.53
Niger,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.61,0.59,0.59,0.71,0.53,0.47,0.38,0.43,0.38,0.33,0.24,0.22,0.21,0.22,0.25,0.26,0.24,0.23,0.21,0.23,0.26,0.31,0.29,0.27,0.29,0.27,0.28,0.26,0.28,0.29
Barbados,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.59,0.59,0.52,0.66,0.64,0.62,0.8,1.18,0.95,0.8,2.65,0.94,0.74,0.72,0.69,0.66,0.67,0.66,0.66,0.59,0.65,0.62,0.61,0.6,0.59,0.55,0.54,0.6,0.47,0.46
Guinea,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.57,0.54,0.41,0.39,0.18,0.23,0.14,0.19,0.12,0.13,0.24,0.24,0.22,0.24,0.24,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33
Chad,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.51,0.5,0.49,0.43,0.54,0.53,0.56,0.52,0.21,0.27,0.26,0.14,0.15,0.15,0.17,0.15,0.16,0.14,0.11,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1
Timor-Leste,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.42,0.42,0.42,0.4,0.3,0.3,0.26,0.11,0.12,0.12,0.12,0.1,0.09,0.07,0.08,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.41,0.4,0.33,0.31,0.31,0.3,0.29,0.29,0.28,0.27,0.25,0.23,0.27,0.26,0.28,0.29,0.27,0.26,0.29,0.28,0.29,0.24,0.31,0.33,0.31,0.32,0.33,0.27,N/A,N/A
Fiji,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.34,0.34,0.37,0.33,0.32,0.3,0.21,0.19,0.22,0.27,0.21,0.18,0.23,0.36,0.37,0.32,0.29,0.23,0.2,0.18,0.16,0.14,0.14,0.17,0.12,0.09,0.08,0.08,0.08,0.08
Seychelles,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.34,0.32,0.34,0.33,0.31,0.28,0.27,0.26,0.25,0.24,0.28,0.27,0.28,0.24,0.23,0.18,0.18,0.18,0.16,0.16,0.15,0.14,0.14,0.11,0.11,0.11,0.1,0.1,0.09,0.09
Somalia,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.2,0.2,0.21,0.22,0.23,0.23,0.24,0.24,0.26,0.27,0.27
Cape Verde,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.3,0.28,0.27,0.24,0.22,0.22,0.21,0.21,0.24,0.24,0.21,0.21,0.15,0.2,0.17,0.16,0.15,0.14,0.11,0.09,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03
Antigua and Barbuda,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.41,0.32,0.29,0.75,0.27,0.26,0.24,0.22,0.21,0.22,0.21,0.18,0.17,0.16,0.16,0.14,0.13,0.12,0.11,0.12,0.13,0.1,0.1
Gambia,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.28,0.26,0.26,0.25,0.24,0.22,0.23,0.23,0.22,0.21,0.19,0.2,0.18,0.18,0.16,0.14,0.13,0.12,0.12,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Benin,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.27,0.17,0.2,0.19,0.22,0.24,0.09,0.04,0.09,0.09,0.09,0.16,0.15,0.11,0.08,0.06,0.06,0.07,0.06,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Saint Lucia,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.37,0.3,0.27,0.68,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.2,0.19,0.18,0.18,0.17,0.15,0.16,0.14,0.14,0.14,0.09,0.09
Liberia,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.26,0.24,0.28,0.31,0.24,0.23,0.23,0.24,0.23,0.21,0.2,0.21,0.21,0.17,0.17,0.16,0.16,0.16,0.17,0.15,0.15,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.21,0.24
Luxembourg,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.25,0.25,0.27,0.28,0.49,0.71,0.76,1.12,1.09,1.29,1.25,1.11,1.27,1.42,1.36,1.38,1.17,1.16,0.42,0.24,0.18,0.16,0.45,0.74,0.91,1.39,1.77,1.75,1.86,1.73
Togo,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.21,0.21,0.28,0.51,0.19,0.25,0.06,0.02,0.02,0.07,0.04,0.03,0.09,0.11,0.07,0.08,0.04,0.05,0.19,0.1,0.09,0.14,0.05,0.05,0.06,0.11,0.06,0.04,0.1,0.07
Albania,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.19,0.14,0.23,0.12,0.08,0.12,0.05,0.1,0.12,0.1,0.13,0.28,0.33,0.27,0.3,0.28,0.36,0.39,0.35,0.38,0.29,0.33,0.32,0.33,0.4,0.61,0.53,0.4,0.54,0.73
Grenada,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.16,0.16,0.15,0.14,0.13,0.12,0.19,0.23,0.16,0.14,0.4,0.15,0.11,0.11,0.1,0.09,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.07,0.05,0.04
Saint Kitts and Nevis,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.22,0.18,0.16,0.47,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.13,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.07,0.08,0.06,0.06
Malawi,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.15,0.17,0.18,0.17,0.16,0.13,0.15,0.14,0.15,0.16,0.17,0.16,0.15,0.12,0.12,0.11,0.01,0.01,0.01
Afghanistan,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.12,0.12,0.08,0.08,0.05,0.05,0.08,0.07,0.07,0.07,0.05,0.1,0.1,0.11,0.19,0.17,0.16,0.1,0.13,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17
Comoros,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.1,0.09,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
Costa Rica,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.1,0.14,0.06,0.17,0.11,0.78,0.86,0.6,0.68,0.61,0.44,0.68,0.74,0.57,0.29,0.13,0.23,0.19,0.19,0.06,0.13,0.37,0.29,0.52,0.87,0.91,0.5,0.67,0.26,0.19
Burundi,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.09,0.09,0.07,0.02,0.03,0.03,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palau,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.1,0.12,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0
Solomon Islands,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Saint Vincent and the Grenadines,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.09,0.09,0.09,0.1,0.09,0.09,0.08,0.12,0.09,0.09,0.25,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03
Dominica,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.07,0.07,0.09,0.1,0.1,0.1,0.09,0.14,0.09,0.1,0.27,0.1,0.09,0.08,0.08,0.07,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01
Micronesia,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.0,0.0
Guinea-Bissau,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.07,0.06,0.06,0.06,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03
Marshall Islands,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.0,0.0
Namibia,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.07,0.03,0.09,0.08,0.04,0.01,0.08,0.09,0.02,0.03,0.11,0.24,0.17,0.15,0.04,0.01,0.02,0.0,0.01,0.01,0.04,0.05,0.04,0.04,0.04,0.23,0.21,0.03,0.07,N/A
Samoa,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.07,0.07,0.09,0.08,0.06,0.07,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.02
